House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
12,Allen Circle,Cheryl,Hall,7,Daughter,NA,Female,Student,None,NA
12,Allen Circle,Alexander,Hall,1,Son,NA,Male,Child,None,NA
12,Allen Circle,Alexander,Chapman,31,Lodger,Divorced,Male,Graphic designer,None,Christian
13,Allen Circle,Leanne,Baker,51,Head,Married,Female,Theatre manager,None,Christian
13,Allen Circle,Terry,Baker,51,Husband,Married,Male,Public relations officer,None,Christian
13,Allen Circle,Benjamin,Baker,22,Son,Single,Male,University Student,None,Christian
13,Allen Circle,Kathleen,Baker,21,Daughter,Single,Female,University Student,None,None
14,Allen Circle,Katie,Jones,29,Head,Single,Female,Unemployed,None,Christian
14,Allen Circle,Emma,Jones,2,Daughter,NA,Female,Child,None,NA
14,Allen Circle,Tony,Doherty,34,Visitor,Single,Male,Youth worker,None,None
15,Allen Circle,Kimberley,Booth,61,Head,Single,Female,Pension scheme manager,None,Methodist
15,Allen Circle,Dylan,Johnson,32,None,Single,Male,Recruitment consultant,None,Catholic
15,Allen Circle,Charles,Williams,24,None,Single,Male,Comptroller,None,Muslim
15,Allen Circle,Maureen,Brown,42,None,Single,Female,Advertising art director,None,None
16,Allen Circle,Ashleigh,Owen,28,Head,Single,Female,"Surveyor, land/geomatics",None,Methodist
16,Allen Circle,Natalie,Owen,7,Daughter,NA,Female,Student,None,NA
17,Allen Circle,Lindsey,Martin,58,Head,Married,Female,Unemployed,None,Catholic
17,Allen Circle,Patrick,Martin,58,Husband,Married,Male,Operational researcher,None,Catholic
17,Allen Circle,Michelle,Walker,17,Daughter,NA,Female,Student,None,NA
17,Allen Circle,Joyce,Walker,13,Daughter,NA,Female,Student,None,NA
18,Allen Circle,Clare,Evans,72,Head,Widowed,Female,Retired Insurance underwriter,None,Christian
19,Allen Circle,Frances,Green,40,Head,Single,Female,Unemployed,None,None
19,Allen Circle,Tracey,Green,16,Daughter,NA,Female,Student,None,NA
19,Allen Circle,Kerry,Green,12,Daughter,NA,Female,Student,None,NA
20,Allen Circle,Dennis,Williams,44,Head,Married,Male,Jewellery designer,None,Christian
20,Allen Circle,Eileen,Williams,44,Wife,Married,Female,Acupuncturist,None,Christian
20,Allen Circle,Allan,Williams,3,Son,NA,Male,Child,None,NA
21,Allen Circle,Vanessa,McCarthy,61,Head,Married,Female,Control and instrumentation engineer,None,Christian
21,Allen Circle,Michael,McCarthy,61,Husband,Married,Male,Sports therapist,None,Christian
21,Allen Circle,Stuart,Begum-McCarthy,23,Son,Divorced,Male,Tourist information centre manager,None,None
21,Allen Circle,Marie,Begum-McCarthy,22,Daughter,Single,Female,University Student,None,None
22,Allen Circle,Joe,Kelly,20,Head,Single,Male,"Surveyor, land/geomatics",None,Jewish
23,Allen Circle,Hannah,Smith,76,Head,Divorced,Female,Retired Broadcast presenter,None,None
23,Allen Circle,Bryan,Smith,35,Son,Single,Male,Youth worker,None,None
23,Allen Circle,Tracey,Smith,32,Daughter,Single,Female,Photographer,None,None
23,Allen Circle,John,Smith,31,Son,Single,Male,"Administrator, charities/voluntary organisations",None,None
24,Allen Circle,Harriet,Hodgson,52,Head,Single,Female,Personal assistant,None,Christian
24,Allen Circle,Ian,Wright,53,Partner,Single,Male,Unemployed,None,None
24,Allen Circle,Kim,Hodgson,14,Daughter,NA,Female,Student,None,NA
25,Allen Circle,Naomi,Brown,56,Head,Married,Female,"Designer, exhibition/display",None,Christian
25,Allen Circle,Gerard,Brown,59,Husband,Married,Male,Aid worker,None,Christian
25,Allen Circle,Kayleigh,Brown,26,Daughter,Single,Female,Unemployed,None,None
25,Allen Circle,Phillip,Brown,24,Son,Single,Male,Chartered legal executive (England and Wales),None,Christian
25,Allen Circle,Karen,Brown,21,Daughter,Divorced,Female,University Student,None,None
26,Allen Circle,June,Lewis,40,Head,Married,Female,"Administrator, sports",None,Methodist
26,Allen Circle,Dean,Lewis,47,Husband,Married,Male,Risk analyst,None,Methodist
26,Allen Circle,Francesca,Lewis,15,Daughter,NA,Female,Student,None,NA
26,Allen Circle,Lewis,Lewis,10,Son,NA,Male,Student,None,NA
27,Allen Circle,Kim,Gibbs,72,Head,Widowed,Female,Retired Local government officer,None,Christian
27,Allen Circle,Mohammad,Gibbs,37,Son,Single,Male,Colour technologist,None,Christian
27,Allen Circle,Shannon,Gibbs,35,Daughter,Single,Female,Conference centre manager,None,Christian
27,Allen Circle,Charles,Ashton-Gibbs,33,Son,Single,Male,International aid/development worker,None,None
28,Allen Circle,Samantha,Pearson,40,Head,Married,Female,Graphic designer,None,None
28,Allen Circle,Philip,Pearson,35,Husband,Married,Male,Clinical biochemist,None,None
28,Allen Circle,Tracey,Pearson,14,Daughter,NA,Female,Student,None,NA
29,Allen Circle,Carole,Jones,55,Head,Married,Female,Occupational therapist,None,None
29,Allen Circle,Nigel,Jones,56,Husband,Married,Male,Ergonomist,None,None
29,Allen Circle,Abbie,Jones,38,Daughter,Single,Female,Unemployed,None,None
30,Allen Circle,Jasmine,Woodward,41,Head,Married,Female,"Loss adjuster, chartered",None,None
30,Allen Circle,Stephen,Woodward,45,Husband,Married,Male,"Engineer, petroleum",None,None
30,Allen Circle,Hayley,Woodward,13,Daughter,NA,Female,Student,None,NA
30,Allen Circle,Diane,Woodward,10,Daughter,NA,Female,Student,None,NA
30,Allen Circle,Melissa,Woodward,9,Daughter,NA,Female,Student,None,NA
30,Allen Circle,Joel,Woodward,8,Son,NA,Male,Student,None,NA
31,Allen Circle,Tracey,Wall,34,Head,Single,Female,"Surveyor, planning and development",None,Sikh
31,Allen Circle,Duncan,Elliott,38,Partner,Single,Male,"Administrator, charities/voluntary organisations",None,None
31,Allen Circle,Brandon,Wall,9,Son,NA,Male,Student,None,NA
32,Allen Circle,Carly,Martin,40,Head,Divorced,Female,Ship broker,None,None
32,Allen Circle,Natalie,Martin,18,Daughter,Single,Female,Student,None,None
32,Allen Circle,Tom,Martin,13,Son,NA,Male,Student,None,NA
32,Allen Circle,Chloe,Martin,12,Daughter,NA,Female,Student,None,NA
32,Allen Circle,Vanessa,Martin,9,Daughter,NA,Female,Student,None,NA
32,Allen Circle,Debra,Martin,9,Daughter,NA,Female,Student,None,NA
33,Allen Circle,Frank,Wells,18,Head,Single,Male,University Student,None,Christian
33,Allen Circle,Vanessa,Franklin,21,None,Single,Female,University Student,None,Muslim
33,Allen Circle,Amy,Gardiner,19,None,Single,Female,University Student,None,Methodist
33,Allen Circle,Chelsea,Read,20,None,Single,Female,University Student,None,Christian
34,Allen Circle,Rosie,Bishop,44,Head,Married,Female,Unemployed,None,Catholic
34,Allen Circle,Jason,Bishop,51,Husband,Married,Male,Trade union research officer,None,None
34,Allen Circle,Gareth,Bishop,10,Son,NA,Male,Student,None,NA
34,Allen Circle,Glenn,Bishop,9,Son,NA,Male,Student,None,NA
35,Allen Circle,Steven,Hall,36,Head,Single,Male,"Research officer, trade union",None,None
36,Allen Circle,Hilary,Johnson,69,Head,Widowed,Female,Retired Media buyer,None,Christian
36,Allen Circle,Katie,Johnson,36,Daughter,Single,Female,Child psychotherapist,None,Christian
36,Allen Circle,Mathew,Johnson,33,Adopted Son,Single,Male,Financial planner,None,Christian
36,Allen Circle,Martin,Johnson,29,Son,Single,Male,Chief Executive Officer,None,None
37,Allen Circle,Helen,Herbert,60,Head,Married,Female,"Civil engineer, contracting",None,Catholic
37,Allen Circle,Gareth,Herbert,65,Husband,Married,Male,Transport planner,None,Catholic
37,Allen Circle,Jenna,Herbert,41,Daughter,Divorced,Female,Fitness centre manager,None,Catholic
37,Allen Circle,Andrew,Herbert,38,Son,Single,Male,Land/geomatics surveyor,None,Catholic
37,Allen Circle,Janet,Herbert,37,Daughter,Single,Female,Unemployed,None,Catholic
37,Allen Circle,Kathleen,Herbert,37,Daughter,Single,Female,"Engineer, structural",None,Catholic
38,Allen Circle,Kate,Webb,36,Head,Divorced,Female,Unemployed,None,None
38,Allen Circle,Julian,Webb,5,Son,NA,Male,Student,None,NA
38,Allen Circle,Lorraine,Webb,5,Daughter,NA,Female,Student,None,NA
38,Allen Circle,Amelia,Webb,2,Daughter,NA,Female,Child,None,NA
38,Allen Circle,Alexander,Sanderson,29,Lodger,Single,Male,"Therapist, music",None,None
1,Calendar Mill,Jill,Smith,41,Head,Single,Female,Waste management officer,None,Christian
1,Calendar Mill,Pauline,Smith,4,Daughter,NA,Female,Child,None,NA
2,Calendar Mill,Sara,Brown,50,Head,Married,Female,Production engineer,None,Christian
2,Calendar Mill,Andrew,Brown,53,Husband,Married,Male,Unemployed,None,Christian
3,Calendar Mill,Ronald,Young,38,Head,Married,Male,Applications developer,None,None
3,Calendar Mill,Carole,Young,38,Wife,Married,Female,Freight forwarder,None,None
3,Calendar Mill,Kenneth,Young,19,Son,Single,Male,University Student,None,None
3,Calendar Mill,Clive,Young,17,Son,NA,Male,Student,None,NA
3,Calendar Mill,Sandra,Young,14,Daughter,NA,Female,Student,None,NA
4,Calendar Mill,Alice,Tomlinson,20,Head,Single,Female,University Student,None,None
5,Calendar Mill,Jack,Fisher,84,Head,Widowed,Male,Retired Corporate investment banker,None,Christian
6,Calendar Mill,Dylan,Hall,44,Head,Single,Male,"Designer, furniture",None,None
6,Calendar Mill,Jonathan,Perry,34,None,Single,Male,Patent attorney,None,Methodist
6,Calendar Mill,Victoria,Thomas,20,None,Single,Female,University Student,None,Catholic
7,Calendar Mill,Julia,Fox,43,Head,Married,Female,Art gallery manager,None,None
7,Calendar Mill,Roger,Fox,47,Husband,Married,Male,Visual merchandiser,None,None
7,Calendar Mill,Leigh,Fox,7,Son,NA,Male,Student,None,NA
8,Calendar Mill,Charlie,Peters-Shepherd,65,Head,Married,Male,Diagnostic radiographer,None,Christian
8,Calendar Mill,Natasha,Peters-Shepherd,63,Wife,Married,Female,Unemployed,None,None
9,Calendar Mill,Lesley,King,72,Head,Single,Female,"Retired Scientist, physiological",None,Muslim
10,Calendar Mill,Elaine,Williams,88,Head,Divorced,Female,Retired Tax adviser,None,Christian
11,Calendar Mill,Katy,Faulkner,71,Head,Widowed,Female,Retired Television camera operator,None,Christian
12,Calendar Mill,Bernard,Goddard,49,Head,Single,Male,Exhibition designer,None,None
12,Calendar Mill,Elaine,Goddard,8,Daughter,NA,Female,Student,None,NA
12,Calendar Mill,Marie,Goddard,1,Daughter,NA,Female,Child,None,NA
12,Calendar Mill,Jay,Goddard,0,Son,NA,Male,Child,None,NA
13,Calendar Mill,Paige,Day,57,Head,Single,Female,Unemployed,None,None
13,Calendar Mill,Joe,Day,12,Son,NA,Male,Student,None,NA
14,Calendar Mill,Jenna,Day,72,Head,Married,Female,Retired Lexicographer,None,Christian
14,Calendar Mill,Patrick,Day,74,Husband,Married,Male,"Retired Radiographer, therapeutic",None,None
14,Calendar Mill,Joshua,Barnes,15,Grandson,NA,Male,Student,None,NA
15,Calendar Mill,Jemma,Davies,22,Head,Single,Female,University Student,None,None
16,Calendar Mill,Lauren,Smith,29,Head,Single,Female,Barrister,None,Christian
16,Calendar Mill,Gavin,Moore,32,Partner,Single,Male,Conference centre manager,None,Christian
16,Calendar Mill,Lynn,Smith,4,Daughter,NA,Female,Child,None,NA
17,Calendar Mill,Abigail,Little,29,Head,Single,Female,Glass blower/designer,None,None
17,Calendar Mill,Shirley,Pearson,38,None,Single,Female,Animator,None,Catholic
17,Calendar Mill,Stephen,Smith,53,None,Single,Male,"Research officer, political party",None,Christian
18,Calendar Mill,Declan,Kirk,25,Head,Married,Male,"Research officer, government",None,None
18,Calendar Mill,Kirsty,Kirk,25,Wife,Married,Female,Unemployed,None,None
19,Calendar Mill,Lynda,O'Neill,52,Head,Single,Female,"Conservator, museum/gallery",None,Christian
19,Calendar Mill,Nicola,O'Neill,23,Daughter,Divorced,Female,Unemployed,None,Christian
20,Calendar Mill,Heather,Cooke,48,Head,Single,Female,Unemployed,None,Catholic
20,Calendar Mill,Hannah,Cooke,2,Daughter,NA,Female,Child,None,NA
21,Calendar Mill,Samantha,Lynch,41,Head,Married,Female,Occupational therapist,None,Christian
21,Calendar Mill,Timothy,Lynch,40,Husband,Married,Male,Air traffic controller,None,Christian
22,Calendar Mill,Francesca,Lewis,36,Head,Single,Female,Unemployed,None,Christian
22,Calendar Mill,Stephen,Lewis,5,Son,NA,Male,Student,None,NA
23,Calendar Mill,Maureen,Fisher,61,Head,Married,Female,Rural practice surveyor,None,Christian
23,Calendar Mill,Victor,Fisher,61,Husband,Married,Male,"Engineer, civil (contracting)",None,Christian
23,Calendar Mill,Georgia,Law-Fisher,8,Granddaughter,NA,Female,Student,None,NA
24,Calendar Mill,Diana,Thompson,28,Head,Single,Female,Health physicist,None,Methodist
24,Calendar Mill,Mathew,Morgan,31,Partner,Single,Male,"Designer, graphic",None,Methodist
25,Calendar Mill,Rosie,Greenwood,67,Head,Married,Female,"Production designer, theatre/television/film",Unknown Infection,Methodist
25,Calendar Mill,Ricky,Greenwood,72,Husband,Married,Male,"Retired Geologist, engineering",None,Methodist
26,Calendar Mill,Jessica,Payne,66,Head,Married,Female,Commercial art gallery manager,None,None
26,Calendar Mill,Charles,Payne,67,Husband,Married,Male,"Merchandiser, retail",None,None
27,Calendar Mill,Alexandra,Doyle,36,Head,Single,Female,Charity officer,None,Christian
27,Calendar Mill,Russell,Phillips,34,Partner,Single,Male,Building services engineer,None,Christian
27,Calendar Mill,Ellie,Doyle,12,Daughter,NA,Female,Student,None,NA
28,Calendar Mill,Danielle,Ryan,69,Head,Married,Female,Retired Quantity surveyor,None,Christian
28,Calendar Mill,Donald,Ryan,70,Husband,Married,Male,Retired Land,None,Christian
28,Calendar Mill,Martyn,Ryan,19,Grandson,Single,Male,University Student,None,Christian
28,Calendar Mill,Eleanor,Johnson,16,Granddaughter,NA,Female,Student,None,NA
28,Calendar Mill,Philip,Johnson,12,Grandson,NA,Male,Student,None,NA
29,Calendar Mill,Carly,Cooke,39,Head,Single,Female,Unemployed,None,Catholic
29,Calendar Mill,Julia,Cooke,9,Daughter,NA,Female,Student,None,NA
29,Calendar Mill,Danielle,Cooke,8,Daughter,NA,Female,Student,None,NA
29,Calendar Mill,Graeme,Ball,8,Son,NA,Male,Student,None,NA
29,Calendar Mill,Gordon,Ball,7,Son,NA,Male,Student,None,NA
30,Calendar Mill,Barry,Howarth,83,Head,Married,Male,"Retired Editor, commissioning",None,Christian
30,Calendar Mill,Debra,Howarth,80,Wife,Married,Female,Retired Phytotherapist,None,Christian
31,Calendar Mill,Gemma,Rogers-Holmes,54,Head,Married,Female,"Engineer, control and instrumentation",None,Christian
31,Calendar Mill,Toby,Rogers-Holmes,56,Husband,Married,Male,Operations geologist,None,None
31,Calendar Mill,Josh,Rogers-Holmes,15,Son,NA,Male,Student,None,NA
31,Calendar Mill,Janet,Rogers-Holmes,13,Daughter,NA,Female,Student,None,NA
31,Calendar Mill,Jemma,Rogers-Holmes,10,Daughter,NA,Female,Student,None,NA
32,Calendar Mill,Helen,Marshall,98,Head,Widowed,Female,Retired Financial risk analyst,None,None
33,Calendar Mill,Natasha,Allen,39,Head,Single,Female,TEFL teacher,None,Christian
33,Calendar Mill,Hayley,Spencer,52,None,Single,Female,Media planner,None,Catholic
33,Calendar Mill,Amelia,Blackburn,34,None,Single,Female,Seismic interpreter,None,None
33,Calendar Mill,Joe,Reed,64,None,Single,Male,Exercise physiologist,None,Christian
34,Calendar Mill,Deborah,Henry,42,Head,Married,Female,Dance movement psychotherapist,None,None
34,Calendar Mill,Denis,Henry,46,Husband,Married,Male,Medical secretary,None,None
34,Calendar Mill,Kirsty,Henry,16,Daughter,NA,Female,Student,None,NA
35,Calendar Mill,Ryan,Smith,24,Head,Married,Male,Operational researcher,None,None
35,Calendar Mill,Josephine,Hamilton,19,Wife,Married,Female,University Student,None,None
36,Calendar Mill,Jean,Baker,40,Head,Single,Female,Economist,None,Methodist
36,Calendar Mill,Billy,James,41,Partner,Single,Male,"Engineer, maintenance (IT)",None,None
36,Calendar Mill,Danielle,Baker,10,Adopted Daughter,NA,Female,Student,None,NA
36,Calendar Mill,Sam,Baker,6,Son,NA,Male,Student,None,NA
37,Calendar Mill,Ellie,Reynolds,80,Head,Married,Female,Retired Interior and spatial designer,None,None
37,Calendar Mill,Alexander,Reynolds,86,Husband,Married,Male,Retired Secondary school teacher,None,None
38,Calendar Mill,Barbara,Jackson,46,Head,Married,Female,Police officer,None,Methodist
38,Calendar Mill,Dean,Jackson,44,Husband,Married,Male,Forensic psychologist,None,None
39,Calendar Mill,Lisa,Glover,57,Head,Married,Female,Neurosurgeon,None,None
39,Calendar Mill,Ross,Glover,58,Husband,Married,Male,"Nurse, adult",None,None
39,Calendar Mill,Sheila,Glover,15,Granddaughter,NA,Female,Student,None,NA
39,Calendar Mill,Arthur,Glover,11,Grandson,NA,Male,Student,None,NA
40,Calendar Mill,Scott,Wilson,54,Head,Married,Male,"Scientist, clinical (histocompatibility and immunogenetics)",None,Catholic
40,Calendar Mill,Abbie,Wilson,54,Wife,Married,Female,Geoscientist,None,Catholic
40,Calendar Mill,Stanley,Shepherd,9,Grandson,NA,Male,Student,None,NA
41,Calendar Mill,Amy,Craig,52,Head,Married,Female,"Engineer, water",None,Christian
41,Calendar Mill,Oliver,Craig,54,Husband,Married,Male,"Designer, jewellery",None,Christian
41,Calendar Mill,Grace,Craig,26,Daughter,Divorced,Female,Health and safety adviser,None,None
41,Calendar Mill,Hannah,Craig,25,Daughter,Single,Female,Marketing executive,None,Christian
41,Calendar Mill,John,Craig,21,Son,Single,Male,University Student,None,None
42,Calendar Mill,Annette,Young,23,Head,Single,Female,Sales promotion account executive,None,Christian
42,Calendar Mill,Jean,Wright,27,Partner,Single,Female,Unemployed,None,Christian
43,Calendar Mill,Molly,Jones,30,Head,Divorced,Female,Health and safety inspector,None,None
43,Calendar Mill,Lynda,Jones,2,Daughter,NA,Female,Child,None,NA
43,Calendar Mill,Fiona,Jones,0,Daughter,NA,Female,Child,None,NA
1,Aberdeen Avenue,Jane,Mason,25,Head,Divorced,Female,Building control surveyor,None,None
2,Aberdeen Avenue,Antony,Moore,28,Head,Married,Male,Counselling psychologist,None,None
2,Aberdeen Avenue,Sophie,Moore,26,Wife,Married,Female,"Lecturer, higher education",None,None
2,Aberdeen Avenue,Ashleigh,Jackson,9,Daughter,NA,Female,Student,None,NA
3,Aberdeen Avenue,Beverley,Morgan,28,Head,Divorced,Female,"Engineer, civil (contracting)",None,None
3,Aberdeen Avenue,Peter,Morgan,7,Son,NA,Male,Student,None,NA
4,Aberdeen Avenue,Jenna,Butler,52,Head,Widowed,Female,Unemployed,None,Christian
4,Aberdeen Avenue,Leah,Butler,11,Daughter,NA,Female,Student,None,NA
4,Aberdeen Avenue,Glen,Butler,9,Son,NA,Male,Student,None,NA
5,Aberdeen Avenue,Lindsey,O'Connor,64,Head,Married,Female,Public house manager,None,Christian
5,Aberdeen Avenue,Jason,O'Connor,65,Husband,Married,Male,Chiropractor,None,None
5,Aberdeen Avenue,Joanna,O'Connor,30,Daughter,Divorced,Female,Geoscientist,None,None
5,Aberdeen Avenue,Bruce,O'Connor,26,Son,Single,Male,Graphic designer,None,Christian
5,Aberdeen Avenue,Ashley,O'Connor,26,Son,Single,Male,Publishing copy,None,Christian
6,Aberdeen Avenue,Jill,Clarke,44,Head,Married,Female,Physiological scientist,None,None
6,Aberdeen Avenue,Aaron,Clarke,43,Husband,Married,Male,"Designer, interior/spatial",None,None
6,Aberdeen Avenue,Gillian,Clarke,27,Daughter,Single,Female,Set designer,None,None
6,Aberdeen Avenue,Kayleigh,Clarke,20,Daughter,Single,Female,University Student,None,None
6,Aberdeen Avenue,Leigh,Clarke,17,Son,NA,Male,Student,None,NA
7,Aberdeen Avenue,Chloe,Summers,19,Head,Single,Female,University Student,None,None
7,Aberdeen Avenue,Kyle,Bell,30,None,Single,Male,PhD Student,None,None
7,Aberdeen Avenue,Andrew,Roberts,22,None,Single,Male,University Student,None,None
7,Aberdeen Avenue,Raymond,Collins,19,None,Single,Male,University Student,None,Methodist
7,Aberdeen Avenue,Janet,Barber,21,None,Single,Female,University Student,None,Christian
8,Aberdeen Avenue,James,Armstrong,56,Head,Married,Male,"Engineer, manufacturing",None,Christian
8,Aberdeen Avenue,Chloe,Armstrong,54,Wife,Married,Female,"Administrator, Civil Service",None,Christian
9,Aberdeen Avenue,Amelia,Mills,33,Head,Married,Female,Furniture designer,None,None
9,Aberdeen Avenue,Edward,Mills,40,Husband,Married,Male,Chartered certified accountant,None,None
9,Aberdeen Avenue,Anna,Mills,16,Daughter,NA,Female,Student,None,NA
10,Aberdeen Avenue,Mark,Patterson,60,Head,Married,Male,Industrial buyer,None,Methodist
10,Aberdeen Avenue,Andrea,Patterson,58,Wife,Married,Female,Biomedical engineer,None,Methodist
10,Aberdeen Avenue,Timothy,Patterson,16,Son,NA,Male,Student,None,NA
11,Aberdeen Avenue,Joseph,Knight,60,Head,Married,Male,"Biochemist, clinical",None,Methodist
11,Aberdeen Avenue,Rebecca,Knight,60,Wife,Married,Female,"Surveyor, quantity",None,Methodist
11,Aberdeen Avenue,Carol,Knight,34,Daughter,Divorced,Female,Unemployed,None,Methodist
11,Aberdeen Avenue,Aaron,Knight,34,Son,Divorced,Male,Accommodation manager,None,None
12,Aberdeen Avenue,Lucy,Martin,29,Head,Single,Female,Public affairs consultant,None,None
12,Aberdeen Avenue,Shannon,Martin,3,Daughter,NA,Female,Child,None,NA
12,Aberdeen Avenue,Antony,Hudson-Martin,3,Son,NA,Male,Child,None,NA
13,Aberdeen Avenue,Helen,Thorpe,62,Head,Married,Female,Retail manager,None,Christian
13,Aberdeen Avenue,Andrew,Thorpe,66,Husband,Married,Male,"Teacher, primary school",None,Christian
13,Aberdeen Avenue,Elizabeth,Thorpe,30,Daughter,Divorced,Female,Unemployed,None,None
13,Aberdeen Avenue,Henry,Thorpe,24,Son,Single,Male,"Producer, radio",None,None
13,Aberdeen Avenue,Karen,Thorpe,21,Daughter,Widowed,Female,University Student,None,Christian
13,Aberdeen Avenue,Nathan,Thorpe,20,Son,Single,Male,University Student,None,Christian
14,Aberdeen Avenue,Geraldine,Ferguson,27,Head,Married,Female,"Pharmacist, community",None,None
14,Aberdeen Avenue,Matthew,Ferguson,26,Husband,Married,Male,Personnel officer,None,None
15,Aberdeen Avenue,Marc,Harris,27,Head,Single,Male,Exhibition designer,None,Catholic
15,Aberdeen Avenue,Bethan,Jones,26,Partner,Single,Female,"Designer, television/film set",None,Catholic
15,Aberdeen Avenue,Marc,Harris,1,Son,NA,Male,Child,None,NA
16,Aberdeen Avenue,Dylan,Lee,47,Head,Single,Male,Unemployed,None,None
16,Aberdeen Avenue,Susan,Lee,9,Daughter,NA,Female,Student,None,NA
16,Aberdeen Avenue,Donna,Lee,5,Daughter,NA,Female,Student,None,NA
17,Aberdeen Avenue,Marion,Lloyd,72,Head,Married,Female,Retired Publishing rights manager,None,None
17,Aberdeen Avenue,Abdul,Lloyd,73,Husband,Married,Male,Retired Meteorologist,None,None
17,Aberdeen Avenue,Elizabeth,Vaughan-Lloyd,17,Granddaughter,NA,Female,Student,None,NA
18,Aberdeen Avenue,Carolyn,Williams,50,Head,Single,Female,Therapeutic radiographer,None,None
18,Aberdeen Avenue,Stacey,Williams,25,Daughter,Divorced,Female,Unemployed,None,None
18,Aberdeen Avenue,Helen,Williams,15,Daughter,NA,Female,Student,None,NA
19,Aberdeen Avenue,Carol,Davies,56,Head,Married,Female,Tourism officer,None,None
19,Aberdeen Avenue,Charles,Davies,56,Husband,Married,Male,Actor,None,None
19,Aberdeen Avenue,Dominic,Davies,35,Son,Divorced,Male,Arts development officer,None,None
20,Aberdeen Avenue,Philip,Price,40,Head,Married,Male,Legal executive,None,Methodist
20,Aberdeen Avenue,Alexandra,Price,39,Wife,Married,Female,Careers information officer,None,Methodist
20,Aberdeen Avenue,Ellie,Price,9,Daughter,NA,Female,Student,None,NA
